temperature,feels_like,humidity,wind_speed,weather_condition,season,age_range,style_preference,temperature_sensitivity,formality_preference,item_name,category,subcategory,style,usage,base_colour,formality_level,warmth_level,min_temp,max_temp,fit,pattern,is_owned,source_priority,is_recommended
38.0,36.0,91.0,5.0,clouds,summer,25-35,walking,normal,walking,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,28.0,48.0,regular,solid,True,1,1
26.0,24.0,95.0,5.0,rain,summer,25-35,formal,normal,formal,Jaket,pakaian luar,jaket,casual,daily,black,3,7,16.0,36.0,regular,solid,True,1,1
22.0,20.0,86.0,5.0,clouds,spring,25-35,sport,normal,sport,Tanpa Pakaian Luar,pakaian luar,tanpa pakaian luar,casual,daily,black,3,2,12.0,32.0,regular,solid,True,1,1
28.0,26.0,80.0,5.0,clouds,summer,25-35,sport,normal,sport,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,18.0,38.0,regular,solid,True,1,1
12.0,10.0,92.0,5.0,drizzle,winter,25-35,walking,normal,walking,Sneakers,alas kaki,sneakers,casual,daily,black,3,8,2.0,22.0,regular,solid,True,1,0
38.0,36.0,80.0,5.0,clouds,summer,25-35,walking,normal,walking,Kaos,atasan,kaos,casual,daily,black,3,2,28.0,48.0,regular,solid,True,1,1
16.0,14.0,67.0,5.0,drizzle,spring,25-35,walking,normal,walking,Celana Panjang,bawahan,celana panjang,casual,daily,black,3,2,6.0,26.0,regular,solid,True,1,1
8.0,6.0,85.0,5.0,clear,winter,25-35,walking,normal,walking,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,-2.0,18.0,regular,solid,True,1,1
13.0,11.0,82.0,5.0,clear,winter,25-35,work,normal,work,Hoodie,pakaian luar,hoodie,casual,daily,black,3,2,3.0,23.0,regular,solid,True,1,0
35.0,33.0,86.0,5.0,clouds,summer,25-35,work,normal,work,Celana Pendek,bawahan,celana pendek,casual,daily,black,3,2,25.0,45.0,regular,solid,True,1,1
9.0,7.0,77.0,5.0,clouds,winter,25-35,sport,normal,sport,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,-1.0,19.0,regular,solid,True,1,1
23.0,21.0,96.0,5.0,clouds,spring,25-35,formal,normal,formal,Blouse,atasan,blouse,casual,daily,black,6,2,13.0,33.0,regular,solid,True,1,1
24.0,22.0,67.0,5.0,drizzle,spring,25-35,formal,normal,formal,Sepatu Pantofel,alas kaki,sepatu pantofel,casual,daily,black,3,2,14.0,34.0,regular,solid,True,1,1
13.0,11.0,79.0,5.0,clouds,winter,25-35,formal,normal,formal,Sepatu Pantofel,alas kaki,sepatu pantofel,casual,daily,black,3,8,3.0,23.0,regular,solid,True,1,0
12.0,10.0,92.0,5.0,drizzle,winter,25-35,walking,normal,walking,Hoodie,pakaian luar,hoodie,casual,daily,black,3,2,2.0,22.0,regular,solid,True,1,0
21.0,19.0,75.0,5.0,clear,spring,25-35,sport,normal,sport,Kaos,atasan,kaos,casual,daily,black,3,8,11.0,31.0,regular,solid,True,1,0
23.0,21.0,94.0,5.0,clouds,spring,25-35,casual,normal,casual,Celana Panjang,bawahan,celana panjang,casual,daily,black,3,8,13.0,33.0,regular,solid,True,1,0
15.0,13.0,85.0,5.0,clear,spring,25-35,formal,normal,formal,Celana Panjang,bawahan,celana panjang,casual,daily,black,3,8,5.0,25.0,regular,solid,True,1,0
15.0,13.0,96.0,5.0,rain,spring,25-35,work,normal,work,Kemeja,atasan,kemeja,casual,daily,black,6,2,5.0,25.0,regular,solid,True,1,1
22.0,20.0,94.0,5.0,rain,spring,25-35,casual,normal,casual,Jaket,pakaian luar,jaket,casual,daily,black,3,7,12.0,32.0,regular,solid,True,1,1
35.0,33.0,85.0,5.0,rain,summer,25-35,walking,normal,walking,Kaos,atasan,kaos,casual,daily,black,3,2,25.0,45.0,regular,solid,True,1,1
12.0,10.0,73.0,5.0,rain,winter,25-35,walking,normal,walking,Kemeja,atasan,kemeja,casual,daily,black,6,8,2.0,22.0,regular,solid,True,1,0
33.0,31.0,67.0,5.0,clouds,summer,25-35,work,normal,work,Sneakers,alas kaki,sneakers,casual,daily,black,3,8,23.0,43.0,regular,solid,True,1,0
23.0,21.0,75.0,5.0,clouds,spring,25-35,casual,normal,casual,Kemeja,atasan,kemeja,casual,daily,black,6,8,13.0,33.0,regular,solid,True,1,0
19.0,17.0,94.0,5.0,clouds,spring,25-35,sport,normal,sport,Hoodie,pakaian luar,hoodie,casual,daily,black,3,7,9.0,29.0,regular,solid,True,1,1
13.0,11.0,68.0,5.0,clouds,winter,25-35,walking,normal,walking,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,3.0,23.0,regular,solid,True,1,1
23.0,21.0,94.0,5.0,clouds,spring,25-35,casual,normal,casual,Kemeja,atasan,kemeja,casual,daily,black,6,8,13.0,33.0,regular,solid,True,1,0
28.0,26.0,62.0,5.0,clouds,summer,25-35,formal,normal,formal,Rok,bawahan,rok,casual,daily,black,3,2,18.0,38.0,regular,solid,True,1,1
31.0,29.0,73.0,5.0,drizzle,summer,25-35,work,normal,work,Sneakers,alas kaki,sneakers,casual,daily,black,3,2,21.0,41.0,regular,solid,True,1,1
21.0,19.0,74.0,5.0,clouds,spring,25-35,casual,normal,casual,Tanpa Pakaian Luar,pakaian luar,tanpa pakaian luar,casual,daily,black,3,2,11.0,31.0,regular,solid,True,1,1
