temperature,feels_like,humidity,wind_speed,weather_condition,season,age_range,style_preference,temperature_sensitivity,formality_preference,item_name,category,min_temp,max_temp,warmth_level,formality_level,item_style,is_recommended
13.8,10.3,77,6.8,clouds,spring,18-25,business,cold,semi_formal,Oxford Shoes,footwear,5,35,2,10,business,1
-22.3,-22.5,88,3.3,snow,winter,45+,elegant,very_warm,formal,Heavy Parka,outerwear,-30,0,10,4,casual,0
8.4,8.3,48,12.7,clouds,autumn,45+,casual,normal,semi_formal,Heavy Sweater,upper,-10,10,7,5,casual,1
-14.9,-19.8,67,11.5,snow,winter,18-25,elegant,warm,informal,Down Jacket,outerwear,-25,5,9,5,casual,1
7.6,7.3,80,10.8,drizzle,spring,35-45,sporty,cold,formal,Heavy Sweater,upper,-10,10,7,5,casual,1
12.9,10.7,53,11.0,drizzle,spring,25-35,business,normal,formal,Polo Shirt,upper,15,28,2,6,casual,0
5.7,1.5,38,13.4,clouds,winter,45+,casual,warm,informal,Jeans,lower,-5,25,4,5,casual,1
13.8,11.4,86,14.5,rain,spring,25-35,sporty,normal,formal,Scarf,accessories,-30,10,7,6,elegant,0
9.0,8.4,32,14.6,clouds,spring,35-45,elegant,very_cold,informal,Polo Shirt,upper,15,28,2,6,casual,0
10.8,7.0,89,5.2,snow,autumn,18-25,elegant,warm,informal,Dress Pants,lower,10,30,3,9,business,1
22.7,24.6,73,0.6,clear,summer,45+,casual,very_cold,formal,Scarf,accessories,-30,10,7,6,elegant,0
4.2,3.2,45,3.7,rain,spring,45+,elegant,normal,formal,Hoodie,upper,8,20,5,3,sporty,0
6.8,2.0,55,10.5,clouds,spring,18-25,elegant,normal,formal,Light Jacket,outerwear,10,20,4,6,casual,0
1.2,1.1,52,8.7,clouds,autumn,25-35,sporty,normal,informal,Sandals,footwear,22,45,1,2,casual,0
4.1,3.3,69,8.6,clouds,winter,45+,elegant,normal,semi_formal,Heavy Sweater,upper,-10,10,7,5,casual,1
25.1,24.0,94,8.6,rain,spring,35-45,business,normal,informal,Raincoat,outerwear,5,25,3,4,casual,1
27.3,22.8,86,9.3,clouds,summer,35-45,elegant,very_cold,informal,Umbrella,accessories,-10,35,0,5,casual,0
22.5,18.1,50,7.5,clouds,summer,25-35,sporty,normal,formal,Sandals,footwear,22,45,1,2,casual,0
16.0,15.9,56,0.8,clouds,spring,45+,elegant,very_cold,formal,Oxford Shoes,footwear,5,35,2,10,business,1
-14.8,-14.4,43,2.6,rain,autumn,35-45,business,very_warm,semi_formal,Scarf,accessories,-30,10,7,6,elegant,0
4.8,2.7,54,7.5,rain,autumn,45+,elegant,very_cold,informal,Suit,upper,15,28,3,10,business,0
6.8,5.3,62,5.0,clear,autumn,35-45,sporty,cold,formal,Heavy Sweater,upper,-10,10,7,5,casual,1
12.9,8.5,90,13.0,clear,autumn,25-35,elegant,very_warm,informal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
12.6,8.2,54,7.9,clear,spring,25-35,business,normal,formal,Denim Jacket,outerwear,12,22,3,5,casual,1
11.7,14.1,68,2.0,clear,autumn,45+,business,cold,semi_formal,Cardigan,upper,5,18,5,6,casual,1
-1.9,-6.1,31,8.7,clear,autumn,25-35,sporty,cold,formal,Wool Coat,outerwear,-15,5,8,8,business,1
11.4,8.8,36,11.6,clear,autumn,35-45,business,normal,formal,Dress Pants,lower,10,30,3,9,business,1
5.9,2.9,44,13.7,rain,autumn,45+,elegant,very_cold,formal,Winter Hat,accessories,-30,5,8,4,casual,0
36.2,37.3,74,2.4,clouds,summer,45+,casual,normal,formal,Cardigan,upper,5,18,5,6,casual,0
16.3,11.4,48,11.9,rain,summer,45+,business,warm,formal,Waterproof Boots,footwear,0,20,5,5,casual,0
6.1,4.5,93,4.0,clouds,spring,35-45,business,cold,informal,Heavy Sweater,upper,-10,10,7,5,casual,1
29.6,27.8,85,7.1,clear,summer,35-45,elegant,normal,informal,Shorts,lower,20,40,1,3,casual,1
-18.9,-19.4,62,6.7,clouds,winter,35-45,business,warm,informal,Sandals,footwear,22,45,1,2,casual,0
1.8,0.2,46,6.8,rain,autumn,18-25,elegant,warm,informal,Winter Boots,footwear,-30,5,9,5,casual,0
22.7,21.3,66,10.2,clear,summer,45+,business,cold,semi_formal,Chinos,lower,10,28,3,7,business,1
12.3,8.7,63,14.2,clouds,autumn,18-25,elegant,warm,semi_formal,Oxford Shoes,footwear,5,35,2,10,business,1
29.6,25.4,46,6.3,clouds,summer,35-45,elegant,normal,informal,T-Shirt,upper,18,35,1,3,casual,1
13.7,10.3,89,13.4,rain,spring,35-45,casual,very_cold,formal,T-Shirt,upper,18,35,1,3,casual,0
3.6,0.2,80,5.9,clear,autumn,18-25,sporty,normal,informal,Thermal Underwear,upper,-30,0,9,2,sporty,1
5.2,1.9,59,14.4,clear,spring,25-35,elegant,warm,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,0
27.4,27.1,58,6.1,clear,summer,45+,casual,normal,formal,Swim Shorts,lower,28,45,1,1,sporty,0
7.5,7.9,37,2.5,clouds,autumn,25-35,sporty,very_cold,informal,Raincoat,outerwear,5,25,3,4,casual,0
-8.2,-6.3,93,4.2,clouds,winter,35-45,elegant,normal,informal,Hoodie,upper,8,20,5,3,sporty,0
12.5,8.7,76,12.4,clouds,autumn,35-45,elegant,very_cold,informal,Sandals,footwear,22,45,1,2,casual,0
-10.5,-16.3,84,14.5,clouds,winter,45+,elegant,very_cold,informal,Sunglasses,accessories,15,45,0,5,casual,0
-6.6,-5.4,79,7.5,clear,spring,18-25,casual,normal,formal,Thermal Underwear,upper,-30,0,9,2,sporty,1
-1.3,-0.7,82,4.9,clouds,winter,18-25,business,very_cold,informal,Jeans,lower,-5,25,4,5,casual,1
6.0,1.4,45,9.3,clouds,spring,18-25,casual,very_warm,informal,Long Sleeve Shirt,upper,0,20,4,7,business,1
3.6,2.2,50,9.2,rain,spring,18-25,elegant,warm,semi_formal,Winter Jacket,outerwear,-5,10,7,5,casual,1
16.7,15.2,63,4.4,rain,spring,18-25,sporty,very_warm,informal,Raincoat,outerwear,5,25,3,4,casual,1
32.8,32.6,38,12.5,clouds,summer,25-35,business,warm,informal,Dress Pants,lower,10,30,3,9,business,1
9.2,4.9,52,6.9,clear,spring,35-45,business,cold,formal,Winter Jacket,outerwear,-5,10,7,5,casual,1
25.2,20.7,83,14.4,clouds,summer,35-45,sporty,cold,semi_formal,Suit,upper,15,28,3,10,business,0
3.7,1.2,92,0.8,snow,winter,45+,casual,very_cold,semi_formal,Baseball Cap,accessories,15,40,0,3,sporty,0
1.8,3.6,84,0.3,snow,autumn,18-25,sporty,normal,informal,Winter Jacket,outerwear,-5,10,7,5,casual,1
-5.2,-6.0,41,12.2,clear,winter,25-35,elegant,very_cold,formal,Chinos,lower,10,28,3,7,business,0
12.9,13.7,81,8.0,clouds,autumn,35-45,casual,very_cold,informal,Jeans,lower,-5,25,4,5,casual,1
25.4,25.6,55,1.5,clear,winter,45+,sporty,very_warm,informal,Linen Shirt,upper,22,38,1,7,business,1
14.1,12.6,46,1.8,rain,spring,25-35,elegant,normal,semi_formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
23.8,20.7,48,7.0,clear,summer,35-45,business,very_warm,formal,Sunglasses,accessories,15,45,0,5,casual,1
24.2,23.2,72,1.4,clouds,summer,45+,sporty,very_warm,formal,Scarf,accessories,-30,10,7,6,elegant,0
6.4,2.4,88,7.0,rain,autumn,18-25,business,very_warm,semi_formal,Suit,upper,15,28,3,10,business,0
11.1,8.9,91,13.3,clear,spring,18-25,elegant,very_cold,informal,Jeans,lower,-5,25,4,5,casual,1
0.4,-1.9,49,4.1,clear,winter,45+,elegant,very_cold,formal,Down Jacket,outerwear,-25,5,9,5,casual,1
10.5,7.4,80,8.8,clouds,winter,25-35,business,normal,formal,Sunglasses,accessories,15,45,0,5,casual,0
25.8,23.9,77,5.1,clouds,summer,35-45,elegant,cold,informal,Sunglasses,accessories,15,45,0,5,casual,0
30.1,31.5,85,0.1,clear,summer,35-45,elegant,very_warm,formal,Dress Pants,lower,10,30,3,9,business,0
20.9,18.3,48,6.9,clear,summer,45+,casual,normal,formal,Raincoat,outerwear,5,25,3,4,casual,1
27.5,27.7,59,11.1,clear,summer,35-45,sporty,cold,formal,Baseball Cap,accessories,15,40,0,3,sporty,1
1.0,-3.5,47,8.5,rain,spring,35-45,sporty,cold,formal,Scarf,accessories,-30,10,7,6,elegant,1
17.3,14.1,69,5.9,clear,summer,45+,casual,normal,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,1
6.2,8.1,72,3.4,drizzle,spring,18-25,sporty,very_warm,semi_formal,Jeans,lower,-5,25,4,5,casual,0
30.8,29.8,67,6.5,clouds,summer,25-35,sporty,very_cold,informal,Cardigan,upper,5,18,5,6,casual,0
20.8,20.9,55,6.4,clear,summer,45+,business,cold,semi_formal,Suit,upper,15,28,3,10,business,1
25.6,22.5,86,10.2,clear,summer,25-35,casual,cold,semi_formal,Winter Hat,accessories,-30,5,8,4,casual,1
11.4,8.5,57,10.9,clear,autumn,35-45,business,cold,formal,Wool Coat,outerwear,-15,5,8,8,business,1
-4.8,-4.9,76,1.7,clear,autumn,35-45,business,very_cold,formal,Thermal Underwear,upper,-30,0,9,2,sporty,1
-5.1,-6.7,49,7.7,snow,winter,18-25,sporty,very_cold,informal,Sneakers,footwear,5,35,3,4,casual,0
8.5,5.5,79,3.7,clear,autumn,45+,casual,normal,formal,Chinos,lower,10,28,3,7,business,1
23.2,24.8,64,0.8,rain,summer,18-25,business,cold,semi_formal,Oxford Shoes,footwear,5,35,2,10,business,1
32.1,33.7,68,3.8,clear,summer,18-25,elegant,cold,semi_formal,Heavy Parka,outerwear,-30,0,10,4,casual,0
20.9,19.4,72,10.3,rain,summer,45+,casual,normal,formal,Light Jacket,outerwear,10,20,4,6,casual,1
-1.7,-4.2,66,12.5,snow,winter,45+,elegant,very_warm,formal,Polo Shirt,upper,15,28,2,6,casual,0
7.9,2.5,47,12.5,snow,spring,35-45,sporty,cold,semi_formal,Blazer,outerwear,15,28,3,9,business,0
-2.3,-3.0,39,10.8,clear,autumn,35-45,business,very_warm,formal,Linen Shirt,upper,22,38,1,7,business,1
-16.2,-17.1,34,14.6,clouds,winter,45+,elegant,very_cold,informal,Heavy Parka,outerwear,-30,0,10,4,casual,1
-2.5,-6.9,68,12.3,snow,spring,45+,sporty,warm,formal,Winter Boots,footwear,-30,5,9,5,casual,0
20.0,19.5,33,5.0,clear,summer,25-35,casual,very_cold,formal,Waterproof Boots,footwear,0,20,5,5,casual,1
5.0,2.1,32,14.9,clouds,autumn,45+,sporty,very_cold,informal,Waterproof Boots,footwear,0,20,5,5,casual,0
-9.9,-8.6,86,2.2,clouds,winter,18-25,sporty,very_warm,informal,Suit,upper,15,28,3,10,business,0
13.3,8.9,82,13.2,clear,autumn,18-25,elegant,warm,semi_formal,Cardigan,upper,5,18,5,6,casual,1
11.7,14.1,68,2.0,clear,autumn,45+,business,cold,semi_formal,Swim Shorts,lower,28,45,1,1,sporty,0
7.1,8.1,89,7.4,clear,autumn,45+,casual,normal,formal,Shorts,lower,20,40,1,3,casual,0
-6.0,-8.6,79,5.1,clear,winter,45+,elegant,very_cold,formal,Hoodie,upper,8,20,5,3,sporty,0
7.2,4.8,63,5.0,rain,autumn,45+,casual,very_cold,informal,Scarf,accessories,-30,10,7,6,elegant,0
31.5,29.9,43,5.5,clear,summer,18-25,business,very_warm,semi_formal,Suit,upper,15,28,3,10,business,0
22.3,22.1,81,3.3,clear,summer,25-35,elegant,very_warm,informal,Long Sleeve Shirt,upper,0,20,4,7,business,0
-22.1,-21.5,79,5.2,clear,winter,25-35,elegant,cold,semi_formal,Polo Shirt,upper,15,28,2,6,casual,0
24.8,23.6,79,1.1,clouds,summer,35-45,casual,very_cold,informal,Winter Boots,footwear,-30,5,9,5,casual,1
34.4,32.3,54,12.8,clouds,summer,45+,casual,very_cold,semi_formal,Suit,upper,15,28,3,10,business,0
-7.3,-8.5,41,13.4,snow,winter,18-25,elegant,warm,informal,Sneakers,footwear,5,35,3,4,casual,0
24.0,24.0,47,11.5,clouds,summer,35-45,business,very_cold,formal,Suit,upper,15,28,3,10,business,1
32.8,32.9,80,3.4,clear,summer,45+,casual,very_cold,semi_formal,Hoodie,upper,8,20,5,3,sporty,0
6.6,7.7,79,6.7,snow,autumn,25-35,casual,very_cold,formal,Blazer,outerwear,15,28,3,9,business,0
-5.9,-7.3,31,2.5,clouds,winter,45+,business,warm,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
17.0,15.0,46,3.8,clouds,summer,18-25,sporty,very_warm,semi_formal,Swim Shorts,lower,28,45,1,1,sporty,0
0.6,-3.3,59,4.7,clear,autumn,18-25,elegant,warm,informal,Long Sleeve Shirt,upper,0,20,4,7,business,1
17.0,15.9,31,8.9,clouds,spring,35-45,business,warm,informal,Baseball Cap,accessories,15,40,0,3,sporty,1
-13.4,-18.2,33,10.1,clear,winter,45+,casual,very_cold,formal,Polo Shirt,upper,15,28,2,6,casual,0
-5.9,-4.0,49,4.6,clear,winter,18-25,sporty,very_cold,informal,Jeans,lower,-5,25,4,5,casual,0
3.5,1.1,71,13.3,drizzle,autumn,25-35,elegant,normal,formal,Winter Boots,footwear,-30,5,9,5,casual,0
11.5,7.7,66,8.0,clouds,autumn,25-35,business,normal,formal,Scarf,accessories,-30,10,7,6,elegant,0
30.6,31.1,72,0.8,clear,summer,25-35,casual,very_cold,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
-2.0,-3.6,30,10.1,snow,spring,18-25,elegant,warm,semi_formal,Shorts,lower,20,40,1,3,casual,0
7.9,5.6,89,11.7,clouds,spring,18-25,elegant,warm,informal,Swim Shorts,lower,28,45,1,1,sporty,0
-1.9,-1.0,44,9.2,clear,spring,18-25,elegant,very_cold,informal,Down Jacket,outerwear,-25,5,9,5,casual,1
